pdb,description,method,datapath,github,protein,virus,hasRerefinement,Molprobity_score
6j8e,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6j8e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8e,..,pdb\human_interaction_partners\TCP2,0,2.59
6j8g,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6j8g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8g,..,pdb\human_interaction_partners\TCP2,0,2.59
6j8h,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6j8h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8h,..,pdb\human_interaction_partners\TCP2,0,2.59
6j8i,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6j8i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8i,..,pdb\human_interaction_partners\TCP2,0,2.59
6j8j,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6j8j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8j,..,pdb\human_interaction_partners\TCP2,0,2.59
6kzo,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6kzo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6kzo,..,pdb\human_interaction_partners\TCP2,0,2.59
6kzp,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6kzp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6kzp,..,pdb\human_interaction_partners\TCP2,0,2.59
6n4q,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6n4q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6n4q,..,pdb\human_interaction_partners\TCP2,0,2.37
6n4r,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6n4r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6n4r,..,pdb\human_interaction_partners\TCP2,0,2.37
6nq0,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6nq0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nq0,..,pdb\human_interaction_partners\TCP2,0,2.37
6nq1,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6nq1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nq1,..,pdb\human_interaction_partners\TCP2,0,2.37
6nq2,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6nq2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nq2,..,pdb\human_interaction_partners\TCP2,0,2.37
6nt3,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6nt3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nt3,..,pdb\human_interaction_partners\TCP2,0,2.37
6nt4,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6nt4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nt4,..,pdb\human_interaction_partners\TCP2,0,2.37
6zlw,"Electron Microscopy. Structure of nsp1 (""leader-protein) of SARS-CoV-2, bound to the human 40S ribosomal subunit.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zlw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zlw,leader_protein,SARS-CoV-2,0,0.0
6zm7,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex human CCDC124-80S-EBP1 ribosome. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zm7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zm7,leader_protein,SARS-CoV-2,1,0.0
6zme,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with human CCDC124-80S-eERF1 ribosome and rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zme,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zme,leader_protein,SARS-CoV-2,0,0.0
6zmi,"Electron Microscopy. Structure of nsp1 (""leader-protein) of SARS-CoV-2, bound to the human LYAR-80S ribosome complex.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zmi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zmi,leader_protein,SARS-CoV-2,0,1.0
6zmo,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with human LYAR-80S-eEF1a ribosome and rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zmo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zmo,leader_protein,SARS-CoV-2,0,0.0
6zmt,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with human pre-40S-like ribosome and rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zmt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zmt,leader_protein,SARS-CoV-2,0,0.0
6zn5,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with human pre-40S-like ribosome state 2 and rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zn5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zn5,leader_protein,SARS-CoV-2,0,0.0
6zoj,"Electron Microscopy. Structure of nsp1 (""leader-protein) of SARS-CoV-2, in complex with 40S ribosomal subunit.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zoj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zoj,leader_protein,SARS-CoV-2,0,0.0
6zok,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with the human ribosomal 40S subunit and 18s rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits cellular (not viral) translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zok,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zok,leader_protein,SARS-CoV-2,0,0.0
6zon,"Electron Microscopy. Structure of nsp1 (""leader-protein) of SARS-CoV-2, bound to the human 43S preinitiation ribosome complex - state 1.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zon,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zon,leader_protein,SARS-CoV-2,0,0.0
6zp4,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex human 43S preinitiation ribosome state 2 and 18s rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zp4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zp4,leader_protein,SARS-CoV-2,0,0.0
7k5i,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with the human ribosomal 40S subunit and rRNA but with worse percentile ranks than 6zol. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits cellular (not viral) translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/7k5i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7k5i,leader_protein,SARS-CoV-2,0,1134.0
6xdc,,ELECTRON MICROSCOPY,pdb/orf3a_protein/SARS-CoV-2/6xdc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/orf3a_protein/SARS-CoV-2/6xdc,orf3a_protein,SARS-CoV-2,0,0.0
7kjr,Cryo-EM structure of SARS-CoV-2 ORF3a in dimerized form. The structure consists of two ORF3a chains dimerized and two peripher alpha-helices from membrane scaffold proteins from the lipid nanodiscs.,ELECTRON MICROSCOPY,pdb/orf3a_protein/SARS-CoV-2/7kjr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/orf3a_protein/SARS-CoV-2/7kjr,orf3a_protein,SARS-CoV-2,0,0.0
7kdt,Electron microscopy structure of human Tom70 (mitochondrial import receptor subunit) in complex with SARS CoV2 Orf9b.,ELECTRON MICROSCOPY,pdb/orf9b/SARS-CoV-2/7kdt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/orf9b/SARS-CoV-2/7kdt,orf9b,SARS-CoV-2,0,0.0
6xrz,,ELECTRON MICROSCOPY,pdb/rna/SARS-CoV-2/6xrz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna/SARS-CoV-2/6xrz,rna,SARS-CoV-2,0,0.0
6nur,SARS-CoV RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 3.1Å resolution and was published alongside PDB entry 6nus.The NSP12 & NSP8 chains have some N-terminal truncations & NSP7 is full length. The NSP12-NSP7-NSP8 complex replicates viral RNA.,ELECTRON MICROSCOPY,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV/6nur,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV/6nur,nsp7-nsp8-rna_polymerase,SARS-CoV,1,0.0
6m71,SARS-CoV2 RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 2.9Å resolution and was published alongside PDB entry 7btf. The NSP7 chain is almost full length & NSP8 & NSP12 chains have N-terminus missing as well as some loops. The NSP12-NSP7-NSP8 complex replicates viral RNA.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/6m71,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/6m71,nsp8,SARS-CoV-2,0,0.0
6x2g,Structure of SARS-CoV-2 RdRp/RNA complex at 3.4 Angstroms resolution. Hetero 4-mer - A1B1C1D1 measured by electron microscopy.,ELECTRON MICROSCOPY,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6x2g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6x2g,nsp7-nsp8-rna_polymerase,SARS-CoV-2,0,0.0
6xqb,Structure of SARS-CoV-2 RdRp/RNA complex at 3.4 Angstroms resolution. Hetero 4-mer - A1B1C1D1 measured by electron microscopy.,ELECTRON MICROSCOPY,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xqb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xqb,nsp7-nsp8-rna_polymerase,SARS-CoV-2,0,0.0
6yyt,SARS-CoV2 RNA Polymerase (NSP12) with NSP7 & two NSP8 co-factors bound with RNA during replication. This electron microscopy model has 2.9Å resolution. NSP12 has some missing loops & all other chains are almost full length. The NSP12-NSP7-NSP8 complex replicates viral RNA.,ELECTRON MICROSCOPY,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6yyt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6yyt,nsp7-nsp8-rna_polymerase,SARS-CoV-2,0,0.0
7aap,"Electron microscopy structure of SARS-CoV2 RNA-dependent RNA polymerase (Rdrp with subunits Nsp7-Nsp8-Nsp12) in complex with template:primer dsRNA and favipiravir-RTP. Structure of favipiravir ribonucleoside triphosphate (favipiravir-RTP) in complex with the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp) bound to a template:primer RNA duplex, determined by electron cryomicroscopy (cryoEM) to a resolution of 2.5 Å. EM structure of SARS-CoV-2 RNA polymerase in complex with dsRNA and favipiravir-RTP. Hetero hexamer, NSP8 with two chains, RNA polymerase, NSP7 and the two RNAs with one chain each. Favipiravir-RTP is an inefficient substrate for the viral RdRp in primer extension assays.",ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7aap,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7aap,nsp8,SARS-CoV-2,0,0.0
7btf,SARS-CoV2 RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 2.95Å resolution and was published alongside PDB entry 6m71. The NSP12 & NSP7 chains are almost full length & NSP8 chains have some N-terminal truncations. The NSP12-NSP7-NSP8 complex replicates viral RNA.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7btf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7btf,nsp8,SARS-CoV-2,0,0.0
7bv1,SARS-CoV2 RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 2.8Å resolution and was published alongside PDB entry 7bv2. The NSP12 & NSP7 chains are almost full length & NSP8 chains have some N-terminal truncations.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7bv1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bv1,nsp8,SARS-CoV-2,0,0.0
7bv2,"SARS-CoV2 RNA Polymerase (NSP12) with NSP7 & a single NSP8 co-factor, RNA & a triphosphate form of Remdesivir. This electron microscopy model has 2.5Å resolution and was published alongside PDB entry 7bv1. NSP12 & NSP7 have some sequence missing from their chains & NSP 8 has an N-terminal truncation.",ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7bv2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bv2,nsp8,SARS-CoV-2,0,0.0
7bw4,SARS-CoV2 RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 3.7Å resolution. The NSP12 chain has several sections missing. The NSP8 chains have large N-terminal truncations & NSP7 has a small C-terminal section missing. The NSP12-NSP7-NSP8 complex replicates viral RNA.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7bw4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bw4,nsp8,SARS-CoV-2,0,1.0
7bzf,SARS-CoV2 RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 3.26Å resolution and was published alongside PDB entry 7c2k. The NSP12 & NSP7 chains have small C-terminal sections missing & NSP8 chains have large N-terminal truncations. Structure has RNA bound & is in a post-translocation state.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7bzf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bzf,nsp8,SARS-CoV-2,0,0.0
7c2k,SARS-CoV2 RNA Polymerase (NSP12) bound with NSP7 & two NSP8 co-factors. This electron microscopy model has 2.93Å resolution and was published alongside PDB entry 7bzf. The NSP12 & NSP7 chains are almost full length & NSP8 chains have some N-terminal truncations. Structure has RNA bound & is in a pre-translocation state.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7c2k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7c2k,nsp8,SARS-CoV-2,0,0.0
7ctt,Cryo-EM structure of Favipiravir bound to replicating polymerase complex of SARS-CoV-2 in the pre-catalytic state.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7ctt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7ctt,nsp8,SARS-CoV-2,0,0.0
7cxm,"Atomic structure of a SARS-CoV-2 mini RTC, assembled by viral RNA-dependent RNA polymerase (RdRp, nsp12) with a template-primer RNA, nsp7 and nsp8, and two helicase molecules (nsp13-1 and nsp13-2), by cryo-electron microscopy.",ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7cxm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7cxm,nsp8,SARS-CoV-2,0,80.0
7cxn,"Atomic structure of a SARS-CoV-2 mini RTC, assembled by viral RNA-dependent RNA polymerase (RdRp, nsp12) with a template-primer RNA, nsp7 and nsp8, and two helicase molecules (nsp13-1 and nsp13-2), by cryo-electron microscopy.",ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7cxn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7cxn,nsp8,SARS-CoV-2,0,22.0
7d4f,Structure of COVID-19 RNA-dependent RNA polymerase bound to suramin. Hetero 4-mer - A2B1C1 measured by electron microscopy.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7d4f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7d4f,nsp8,SARS-CoV-2,0,0.0
6nus,SARS-CoV RNA Polymerase (NSP12) bound with a single NSP8 co-factor. This electron microscopy model has 3.5Å resolution and was published alongside PDB entry 6nur. The NSP12 chain is truncated at the N & C-terminus with some loops missing. The NSP8 chain has a large N-terminal truncation. The NSP12-NSP7-NSP8 complex replicates viral RNA.,ELECTRON MICROSCOPY,pdb/nsp8-rna_polymerase/SARS-CoV-2/6nus,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8-rna_polymerase/SARS-CoV-2/6nus,nsp8-rna_polymerase,SARS-CoV-2,0,0.0
5wrg,"The spike receptor-binding domain (RBD) attaches the virus to ACE2. The homo trimer is a 3 chain structure. The conformation determined at 4.3 A resolution is three-fold symmetric and has the three RBD 1 (CTD1s) of S1 in down-positions. The binding to ACE2 is not possible, suggesting that it represents a receptor-binding inactive state.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/5wrg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5wrg,surface_glycoprotein,SARS-CoV,0,0.0
5x58,"The spike receptor-binding domain S attaches the virus to ACE2, mediated by a receptor-binding domain (RBD). The homo trimer is a 3 chain structure of spike glycoprotein, Conformation 1 in its pre-fusion conformation. It shows, that HR1 region and the central helix are potential targets for eliciting broadly neutralizing antibodies.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/5x58,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5x58,surface_glycoprotein,SARS-CoV,0,0.0
5x5b,"The spike receptor-binding domain S attaches the virus to ACE2, mediated by a receptor-binding domain (RBD). The homo trimer is a 3 chain structure of spike glycoprotein, Conformation 2 in its pre-fusion conformation. It shows, that HR1 region and the central helix are potential targets for eliciting broadly neutralizing antibodies.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/5x5b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5x5b,surface_glycoprotein,SARS-CoV,0,0.0
5xlr,The spike receptor-binding domain (RBD) attaches the virus to ACE2. The homo trimer is a 3 chain structure Electron Microscopy 3.8 A resolution. It describes the up-position and exposes the rbd for ACE2 engagement? Compare to 5wrg! It shows new insights into the intermediate states of coronavirus pre-fusion spike trimer during infection.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/5xlr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5xlr,surface_glycoprotein,SARS-CoV,0,0.0
6acc,Trypsin-cleaved and low pH-treated SARS-CoV spike glycoprotein with three RBD in down conformation. Part of a series of studies on the conformational landscape of spike in complex with ACE2,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/6acc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acc,surface_glycoprotein,SARS-CoV,0,1.0
